FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate,FirstName,LastName
Carol Miller,yfisher@example.org,6088279027,withdrawal,102.15,2023-04-26,Savings,5652.16,2019-08-12,0.0,Unknown,,,0.0,Carol,Miller
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,2020-06-13,Credit,2881.24,2019-05-06,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,2020-06-13,Credit,2881.24,2019-05-06,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,2020-06-13,Credit,2881.24,2019-05-06,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,2020-06-13,Credit,2881.24,2019-05-06,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03,Geoffrey,Banks
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,2019-05-17,Savings,2391.9,2020-09-17,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,2019-05-17,Savings,2391.9,2020-09-17,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,2019-05-17,Savings,2391.9,2020-09-17,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85,Eric,Phillips
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,463.13,2020-09-02,Credit,7880.53,2023-08-14,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36,Paul,Noble
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,463.13,2020-09-02,Credit,7880.53,2023-08-14,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28,Paul,Noble
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,21.94,2022-07-03,Credit,3020.69,2019-08-13,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12,Ryan,Alexander
Danny Brown,michellearnold@example.org,824-606-7014x9045,withdrawal,106.09,2019-03-30,Savings,947.43,2022-05-06,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43,Danny,Brown
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,467.37,2019-04-05,Savings,4492.62,2020-08-31,37664.6,Mortgage,2022-12-21,2033-01-26 04:59:17.906957,4.45,Desiree,Nelson
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,256.62,2022-05-22,Credit,8439.15,2020-11-05,0.0,Unknown,,,0.0,Martha,Smith
Jesse Osborn,dennis81@example.org,(504)953-6008x457,deposit,272.21,2023-05-27,Checking,9232.35,2022-06-13,0.0,Unknown,,,0.0,Jesse,Osborn
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,498.95,2021-06-22,Savings,3717.19,2019-08-19,0.0,Unknown,,,0.0,Anita,Park
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,2022-10-29,Checking,3721.97,2022-10-25,33958.37,Auto,2022-12-19,2036-09-06 04:59:17.905797,5.2,Evelyn,Ward
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,2022-10-29,Checking,3721.97,2022-10-25,12021.11,Personal,2019-03-22,2032-07-01 04:59:17.908931,1.62,Evelyn,Ward
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,2022-10-29,Checking,3721.97,2022-10-25,24333.16,Mortgage,2023-10-17,2025-11-18 04:59:17.915026,1.79,Evelyn,Ward
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,295.89,2021-10-02,Checking,4532.51,2022-09-08,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89,Sabrina,Juarez
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,2023-03-05,Checking,2448.6,2022-11-04,14463.85,Auto,2019-09-25,2043-01-23 04:59:17.905321,6.45,Kyle,Ortiz
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,2023-03-05,Checking,2448.6,2022-11-04,19565.92,Mortgage,2022-11-28,2050-11-01 04:59:17.911191,3.28,Kyle,Ortiz
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,2023-03-05,Checking,2448.6,2022-11-04,8170.0,Personal,2019-10-13,2031-10-24 04:59:17.912604,3.53,Kyle,Ortiz
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,268.86,2023-07-19,Credit,3020.69,2019-08-13,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12,Ryan,Alexander
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,452.34,2020-03-01,Savings,9772.03,2020-07-30,0.0,Unknown,,,0.0,Robert,Brown
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,416.56,2023-04-02,Savings,4846.99,2021-08-24,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96,Jeremy,Jacobs
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,323.69,2019-02-26,Credit,1496.1,2021-06-16,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02,Daniel,Edwards
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,323.69,2019-02-26,Credit,1496.1,2021-06-16,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8,Daniel,Edwards
Daniel Edwards,byoung@example.org,+1-615-756-7330,withdrawal,323.69,2019-02-26,Credit,1496.1,2021-06-16,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33,Daniel,Edwards
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,355.49,2022-04-30,Savings,8268.0,2021-01-09,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52,Tommy,Brooks
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,56.89,2021-04-09,Savings,4315.64,2023-04-09,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52,Tommy,Brooks
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,40.97,2022-04-21,Checking,7676.38,2021-05-26,0.0,Unknown,,,0.0,Anita,Park
Carly Mitchell,zachary24@example.org,(728)923-5061,deposit,150.47,2020-03-04,Checking,6878.1,2019-12-18,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33,Carly,Mitchell
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,68.11,2022-05-16,Checking,5164.29,2022-09-04,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58,Sarah,Green
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,125.53,2021-01-25,Credit,8539.34,2023-03-25,0.0,Unknown,,,0.0,Martha,Smith
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,35911.84,Mortgage,2023-02-15,2045-02-21 04:59:17.905175,4.0,Norman,Lee
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,14085.72,Personal,2019-04-24,2038-11-17 04:59:17.905253,2.96,Norman,Lee
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,26011.89,Personal,2020-01-11,2049-05-18 04:59:17.914544,6.82,Norman,Lee
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03,Geoffrey,Banks
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51,Valerie,Cuevas
